loan_id,loan_amount,region
163497,16000,Midwest
163593,16000,Midwest
161784,16000,Midwest
163712,16000,Midwest
163805,16000,Midwest
163973,16000,Midwest
166601,16000,Midwest
164052,16000,Midwest
164113,16000,Midwest
164673,16000,Midwest
165116,16000,Midwest
165203,16000,Midwest
165527,16000,Midwest
168282,16000,Midwest
168346,16000,Midwest
169127,16000,Midwest
166026,16000,Midwest
162146,16000,Midwest
169508,16000,Midwest
169623,16000,Midwest
162308,16000,Midwest
162622,16000,Midwest
166286,16000,Midwest
163534,16000,Midwest
163637,16000,Midwest
163652,16000,Midwest
163734,16000,Midwest
163850,16000,Midwest
166495,16000,Midwest
166678,16000,Midwest
166710,16000,Midwest
164359,16000,Midwest
164429,16000,Midwest
166928,16000,Midwest
166986,16000,Midwest
167028,16000,Midwest
164798,16000,Midwest
164913,16000,Midwest
167318,16000,Midwest
165016,16000,Midwest
167705,16000,Midwest
167812,16000,Midwest
165275,16000,Midwest
165629,16000,Midwest
168575,16000,Midwest
168865,16000,Midwest
169031,16000,Midwest
169289,16000,Midwest
169338,16000,Midwest
162185,16000,Midwest
162271,16000,Midwest
162376,16000,Midwest
163073,16000,Midwest
163659,16000,Midwest
163885,16000,Midwest
164026,16000,Midwest
166609,16000,Midwest
164194,16000,Midwest
166922,16000,Midwest
164792,16000,Midwest
167197,16000,Midwest
167186,16000,Midwest
164953,16000,Midwest
165060,16000,Midwest
165310,16000,Midwest
165465,16000,Midwest
168177,16000,Midwest
168308,16000,Midwest
168460,16000,Midwest
165666,16000,Midwest
168699,16000,Midwest
168777,16000,Midwest
165885,16000,Midwest
165910,16000,Midwest
166031,16000,Midwest
169401,16000,Midwest
169497,16000,Midwest
162179,16000,Midwest
162241,16000,Midwest
162914,16000,Midwest
163072,16000,Midwest
163208,16000,Midwest
163646,16000,Midwest
163831,16000,Midwest
163905,16000,Midwest
164354,16000,Midwest
164479,16000,Midwest
161976,16000,Midwest
167138,16000,Midwest
167211,16000,Midwest
164920,16000,Midwest
167562,16000,Midwest
167718,16000,Midwest
165292,16000,Midwest
167843,16000,Midwest
168108,16000,Midwest
165526,16000,Midwest
168314,16000,Midwest
168430,16000,Midwest
168636,16000,Midwest
162140,16000,Midwest
168896,16000,Midwest
166024,16000,Midwest
169264,16000,Midwest
169287,16000,Midwest
169374,16000,Midwest
169543,16000,Midwest
162217,16000,Midwest
162506,16000,Midwest
162645,16000,Midwest
162694,16000,Midwest
162992,16000,Midwest
163118,16000,Midwest
163242,16000,Midwest
163356,16000,Midwest
166482,16000,Midwest
166487,16000,Midwest
164231,16000,Midwest
164293,16000,Midwest
166905,16000,Midwest
164753,16000,Midwest
164803,16000,Midwest
167190,16000,Midwest
167456,16000,Midwest
167614,16000,Midwest
167877,16000,Midwest
168015,16000,Midwest
168041,16000,Midwest
165403,16000,Midwest
168100,16000,Midwest
168138,16000,Midwest
165505,16000,Midwest
168256,16000,Midwest
168354,16000,Midwest
169014,16000,Midwest
169117,16000,Midwest
169201,16000,Midwest
169322,16000,Midwest
169464,16000,Midwest
162565,16000,Midwest
162488,16000,Midwest
162618,16000,Midwest
163070,16000,Midwest
163063,16000,Midwest
163125,16000,Midwest
163170,16000,Midwest
163299,16000,Midwest
163343,16000,Midwest
163398,16000,Midwest
166309,16000,Midwest
163461,16000,Midwest
163830,16000,Midwest
164441,16000,Midwest
167230,16000,Midwest
167379,16000,Midwest
165059,16000,Midwest
167679,16000,Midwest
167659,16000,Midwest
168389,16000,Midwest
165810,16000,Midwest
165909,16000,Midwest
169182,16000,Midwest
162339,16000,Midwest
162496,16000,Midwest
162602,16000,Midwest
162792,16000,Midwest
162810,16000,Midwest
166279,16000,Midwest
166422,16000,Midwest
164073,16000,Midwest
164149,16000,Midwest
164322,16000,Midwest
164335,16000,Midwest
164428,16000,Midwest
165133,16000,Midwest
167823,16000,Midwest
168079,16000,Midwest
168461,16000,Midwest
168502,16000,Midwest
165723,16000,Midwest
168675,16000,Midwest
161996,16000,Midwest
165870,16000,Midwest
165923,16000,Midwest
169001,16000,Midwest
169209,16000,Midwest
169363,16000,Midwest
166098,16000,Midwest
169394,16000,Midwest
169429,16000,Midwest
169441,16000,Midwest
162176,16000,Midwest
162551,16000,Midwest
162550,16000,Midwest
162608,16000,Midwest
162787,16000,Midwest
163275,16000,Midwest
166276,16000,Midwest
163514,16000,Midwest
163561,16000,Midwest
166364,16000,Midwest
161881,16000,Midwest
166600,16000,Midwest
164030,16000,Midwest
162119,16000,Midwest
164340,16000,Midwest
164403,16000,Midwest
164451,16000,Midwest
164585,16000,Midwest
167062,16000,Midwest
167271,16000,Midwest
167338,16000,Midwest
165234,16000,Midwest
167790,16000,Midwest
167952,16000,Midwest
168216,16000,Midwest
168347,16000,Midwest
165549,16000,Midwest
168608,16000,Midwest
169211,16000,Midwest
169288,16000,Midwest
169319,16000,Midwest
162639,16000,Midwest
162826,16000,Midwest
162973,16000,Midwest
163010,16000,Midwest
163015,16000,Midwest
163123,16000,Midwest
166231,16000,Midwest
166256,16000,Midwest
163465,16000,Midwest
166346,16000,Midwest
166415,16000,Midwest
163781,16000,Midwest
163915,16000,Midwest
166559,16000,Midwest
164045,16000,Midwest
162053,16000,Midwest
166708,16000,Midwest
164221,16000,Midwest
164633,16000,Midwest
166974,16000,Midwest
162073,16000,Midwest
165248,16000,Midwest
167968,16000,Midwest
168174,16000,Midwest
168376,16000,Midwest
165605,16000,Midwest
165667,16000,Midwest
165979,16000,Midwest
166005,16000,Midwest
169307,16000,Midwest
166094,16000,Midwest
169381,16000,Midwest
162344,16000,Midwest
166159,16000,Midwest
162931,16000,Midwest
162946,16000,Midwest
163127,16000,Midwest
163166,16000,Midwest
161917,16000,Midwest
163403,16000,Midwest
166663,16000,Midwest
164280,16000,Midwest
166804,16000,Midwest
164752,16000,Midwest
164787,16000,Midwest
167243,16000,Midwest
164945,16000,Midwest
167445,16000,Midwest
167573,16000,Midwest
165187,16000,Midwest
167708,16000,Midwest
167815,16000,Midwest
167817,16000,Midwest
168306,16000,Midwest
168342,16000,Midwest
165586,16000,Midwest
168536,16000,Midwest
165725,16000,Midwest
168847,16000,Midwest
168923,16000,Midwest
169257,16000,Midwest
162399,16000,Midwest
162854,16000,Midwest
162944,16000,Midwest
166180,16000,Midwest
166182,16000,Midwest
163165,16000,Midwest
163539,16000,Midwest
163537,16000,Midwest
166560,16000,Midwest
161939,16000,Midwest
166956,16000,Midwest
164655,16000,Midwest
167455,16000,Midwest
167530,16000,Midwest
167572,16000,Midwest
168005,16000,Midwest
168288,16000,Midwest
165547,16000,Midwest
168336,16000,Midwest
168420,16000,Midwest
168463,16000,Midwest
165748,16000,Midwest
165847,16000,Midwest
169103,16000,Midwest
169397,16000,Midwest
166157,16000,Midwest
163091,16000,Midwest
166188,16000,Midwest
163568,16000,Midwest
161819,16000,Midwest
161928,16000,Midwest
163858,16000,Midwest
163911,16000,Midwest
164744,16000,Midwest
164824,16000,Midwest
167305,16000,Midwest
167308,16000,Midwest
167589,16000,Midwest
165141,16000,Midwest
165309,16000,Midwest
168077,16000,Midwest
168204,16000,Midwest
161989,16000,Midwest
168440,16000,Midwest
165756,16000,Midwest
168681,16000,Midwest
168737,16000,Midwest
168774,16000,Midwest
169091,16000,Midwest
166023,16000,Midwest
169347,16000,Midwest
169442,16000,Midwest
169453,16000,Midwest
162177,16000,Midwest
162208,16000,Midwest
162328,16000,Midwest
163095,16000,Midwest
163038,16000,Midwest
163110,16000,Midwest
166287,16000,Midwest
163390,16000,Midwest
161922,16000,Midwest
